,t_i,Euler,Taylor2,RK2,y,e_Euler,e_Taylor,e_Rk2
0,0.0,0.5,0.5,0.5,0.5,0.0,0.0,0.0
1,0.2,0.8,0.8300000000000001,0.8280000000000001,0.829298620919915,0.029298620919914975,0.0007013790800850517,0.00129862091991495
2,0.4,1.1520000000000001,1.2158000000000002,1.21136,1.2140876511793646,0.062087651179364434,0.0017123488206356452,0.0027276511793645764
3,0.6000000000000001,1.5504000000000002,1.6520760000000003,1.6446592,1.648940599804746,0.09854059980474572,0.0031354001952543786,0.004281399804745956
4,0.8,1.9884800000000002,2.1323327200000004,2.121284224,2.1272295357537665,0.13874953575376625,0.005103184246233905,0.005945311753766447
5,1.0,2.4581760000000004,2.6486459184000006,2.6331667532800003,2.6408590857704777,0.18268308577047732,0.007786832629522955,0.007692332490477405
6,1.2000000000000002,2.9498112000000005,3.1913480204480007,3.1704634390016,3.1799415386317267,0.23013033863172616,0.011406481816274017,0.009478099630126469
7,1.4000000000000001,3.4517734400000006,3.748644584946561,3.721165395581952,3.732400016577664,0.2806265765776632,0.016244568368897205,0.011234620995711708
8,1.6,3.9501281280000007,4.306146393634805,4.2706217826099815,4.283483787802443,0.3333556598024425,0.02266260583236157,0.012862005192461723
9,1.8,4.428153753600001,4.846298600234462,4.800958574784177,4.815176267793525,0.3870225141935242,0.031122332440936873,0.014217693009348054
10,2.0,4.865784504320001,5.3476842922860435,5.290369461236696,5.305471950534675,0.43968744621467337,0.042212341751368676,0.01510248929797875
